Start Time
Group 0 activities' duration:
Pt arrival                p-value: -1.000    avg:0.000s     std: 0.000
L-spine-BK                p-value: 0.003     avg:616.835s   std: 210.253
Visual inspection-LLE     p-value: 0.012     avg:487.626s   std: 249.511
T-spine-BK                p-value: 0.013     avg:603.324s   std: 219.851
L DP/PT-PC                p-value: 0.074     avg:203.554s   std: 230.485
Palpation-LLE             p-value: 0.090     avg:488.616s   std: 255.533
Verbal assessment-AA      p-value: 0.092     avg:95.217s    std: 76.745
Rectal-BK                 p-value: 0.136     avg:623.000s   std: 268.114
Visual inspection-G       p-value: 0.146     avg:396.429s   std: 127.208
Palpation-NE              p-value: 0.165     avg:388.500s   std: 217.495
Visual assessment-AA      p-value: 0.167     avg:87.048s    std: 59.150
R DP/PT-PC                p-value: 0.175     avg:186.895s   std: 218.380
C-spine-BK                p-value: 0.183     avg:486.975s   std: 207.973
Log roll-BK               p-value: 0.201     avg:593.097s   std: 262.784
Visual inspection-C       p-value: 0.202     avg:339.908s   std: 135.375
Visual inspection-NE      p-value: 0.250     avg:389.488s   std: 208.708
Right pupil-PU            p-value: 0.278     avg:166.701s   std: 76.688
Visual inspection-BK      p-value: 0.292     avg:585.633s   std: 251.653
Palpation-RLE             p-value: 0.296     avg:493.190s   std: 253.444
Visual inspection-N       p-value: 0.299     avg:317.857s   std: 136.532
Total Verbalized-GCS      p-value: 0.319     avg:192.021s   std: 149.249
Visual inspection-M       p-value: 0.323     avg:349.597s   std: 185.216
Palpation-RUE             p-value: 0.372     avg:535.222s   std: 400.998
Palpation-C               p-value: 0.424     avg:345.184s   std: 159.585
Visual inspection-A       p-value: 0.435     avg:379.975s   std: 180.913
Visual inspection-LUE     p-value: 0.454     avg:518.095s   std: 317.362
Pt departure              p-value: 0.460     avg:1559.529s  std: 607.017
Visual inspection-RLE     p-value: 0.462     avg:502.400s   std: 262.010
Chest Auscultation-BA     p-value: 0.480     avg:208.143s   std: 365.256
L visual inspection-EY    p-value: 0.522     avg:377.857s   std: 363.941
R visual inspection-EY    p-value: 0.532     avg:546.000s   std: 503.718
R Visual inspection-EAR   p-value: 0.556     avg:370.333s   std: 217.371
Visual inspection-RUE     p-value: 0.593     avg:513.298s   std: 345.596
Visual inspection-F       p-value: 0.640     avg:329.452s   std: 185.950
Visual inspection-H       p-value: 0.662     avg:403.275s   std: 301.271
L Visual inspection-EAR   p-value: 0.709     avg:381.290s   std: 196.831
Palpation-F               p-value: 0.733     avg:325.792s   std: 172.590
Palpation-LUE             p-value: 0.749     avg:500.688s   std: 303.857
