This group include: "160748" "160910" "160725" "161002" "160837" "160846" "160737" "160424" "160429" "140834" "161011" "141205" "140847" "160930" "140855" "160409" "140839" "160431" "141128" "140907" "141007" "160423" "160753" "161007" "141013" "160916" "160802" "160634" "141129" "160746" "160636" "140828" "140854" "140841" "160730" "141006" "160617" "160418" "140848" "140830" "160608" "140853" "160819" "160728" "140903" "160818" "160822" "160626" "160804" "140927" "160419" "160923" "141127" "160830" "160915" "140918" "160832" "140911" "160739" "160813" "160908" "140926" "160729" "161013" "160814" "161039" "140904" "140928" "141002" "141003" 
n = 1
"180","Visual inspection-RLE"
"174","Visual inspection-LLE"
"167","Visual inspection-H"
"164","Palpation-LLE"
"158","Palpation-RLE"
"148","Palpation-H"
"126","Palpation-RUE"
"124","Visual inspection-RUE"
"122","Visual inspection-A"
"116","Visual inspection-LUE"
"115","Palpation-A"
"111","T-spine-BK"
"109","Palpation-LUE"
"104","Visual inspection-F"
"98","Visual inspection-C"
"98","Visual inspection-BK"
"96","Palpation-F"
"91","L-spine-BK"
"87","Right pupil-PU"
"87","Palpation-C"
"86","R DP/PT-PC"
"84","Chest Auscultation-BA"
"83","L DP/PT-PC"
"82","Visual inspection-NE"
"81","C-spine-BK"
"79","Left pupil-PU"
"73","R otoscopy-EAR"
"72","Log roll-BK"
"70","Palpation-NE"
"70","L otoscopy-EAR"
"69","Pt arrival"
"68","Stability-PE"
"68","Pt departure"
"67","Visual inspection-M"
"63","Visual inspection-G"
"63","Visual assessment-AA"
"58","Rectal-BK"
"56","Visual inspection-N"
"48","Total Verbalized-GCS"
"46","Verbal assessment-AA"
"33","R Visual inspection-EAR"
"31","L Visual inspection-EAR"
"15","R visual inspection-EY"

n = 2
"100","Visual inspection-H, Palpation-H"
"93","Visual inspection-RLE, Palpation-RLE"
"87","Visual inspection-LLE, Palpation-LLE"
"68","Palpation-LLE, Visual inspection-LLE"
"67","Palpation-H, Visual inspection-H"
"65","Palpation-A, Visual inspection-A"
"64","Palpation-RUE, Visual inspection-RUE"
"63","Visual inspection-RUE, Palpation-RUE"
"63","T-spine-BK, L-spine-BK"
"61","Palpation-RLE, Visual inspection-RLE"
"60","Visual inspection-LUE, Palpation-LUE"
"55","Right pupil-PU, Left pupil-PU"
"53","Visual inspection-F, Palpation-F"
"51","Palpation-C, Visual inspection-C"
"50","Visual inspection-A, Palpation-A"
"48","R DP/PT-PC, L DP/PT-PC"
"48","Palpation-LUE, Visual inspection-LUE"
"47","Log roll-BK, Visual inspection-BK"
"45","Palpation-F, Visual inspection-F"
"44","Visual assessment-AA, Chest Auscultation-BA"
"37","R otoscopy-EAR, L otoscopy-EAR"
"36","Palpation-NE, Visual inspection-NE"
"35","Visual inspection-C, Palpation-C"
"35","L DP/PT-PC, R DP/PT-PC"
"35","C-spine-BK, T-spine-BK"
"34","Left pupil-PU, Right pupil-PU"
"33","Pt arrival, Visual assessment-AA"
"32","Visual inspection-NE, Palpation-NE"
"32","Palpation-RLE, Visual inspection-LLE"
"32","Palpation-RLE, Palpation-LLE"
"31","Chest Auscultation-BA, R DP/PT-PC"
"30","Visual inspection-BK, T-spine-BK"
"30","Palpation-LLE, Visual inspection-RLE"
"29","L-spine-BK, Rectal-BK"
"28","Visual inspection-RLE, Visual inspection-LLE"
"27","Pt arrival, Verbal assessment-AA"
"26","Visual inspection-LLE, Visual inspection-RLE"
"26","Visual inspection-C, Palpation-A"
"24","Visual inspection-N, Visual inspection-M"
"24","Visual inspection-BK, C-spine-BK"
"24","Verbal assessment-AA, Visual assessment-AA"
"24","Stability-PE, Visual inspection-G"
"23","L-spine-BK, T-spine-BK"
"22","Visual inspection-BK, L-spine-BK"
"22","Visual inspection-A, Stability-PE"
"22","Palpation-A, Stability-PE"
"21","T-spine-BK, Visual inspection-BK"
"20","Visual inspection-RLE, Palpation-LLE"
"20","Visual inspection-LLE, Palpation-RLE"
"20","R Visual inspection-EAR, R otoscopy-EAR"
"19","Verbal assessment-AA, Chest Auscultation-BA"
"19","Chest Auscultation-BA, L DP/PT-PC"
"18","Visual inspection-C, Visual inspection-A"
"18","Palpation-H, Visual inspection-F"
"17","Palpation-RUE, Visual inspection-LUE"
"17","Palpation-LLE, Palpation-RLE"
"16","Total Verbalized-GCS, Right pupil-PU"
"16","L otoscopy-EAR, L Visual inspection-EAR"
"15","Visual inspection-M, Visual inspection-N"
"15","Visual inspection-H, Palpation-F"
"15","Total Verbalized-GCS, Visual inspection-H"
"15","Palpation-RUE, Palpation-LUE"
"15","Palpation-C, Visual inspection-A"

n = 3
"29","Visual inspection-RLE, Palpation-RLE, Visual inspection-LLE"
"28","Palpation-RLE, Visual inspection-LLE, Palpation-LLE"
"25","Chest Auscultation-BA, R DP/PT-PC, L DP/PT-PC"
"24","Visual inspection-H, Palpation-H, Visual inspection-H"
"24","Visual inspection-C, Palpation-A, Visual inspection-A"
"24","Visual inspection-BK, T-spine-BK, L-spine-BK"
"24","C-spine-BK, T-spine-BK, L-spine-BK"
"23","Visual inspection-LLE, Palpation-LLE, Visual inspection-RLE"
"22","Visual inspection-RLE, Palpation-RLE, Palpation-LLE"
"22","Verbal assessment-AA, Visual assessment-AA, Chest Auscultation-BA"
"22","Palpation-C, Visual inspection-C, Palpation-A"
"22","Log roll-BK, Visual inspection-BK, T-spine-BK"
"21","Visual inspection-BK, C-spine-BK, T-spine-BK"
